"ID";"RegioS";"Naam_2";"SorteringNaam_3";"Naam_29"
"210";"GM0175    ";"Ommen                                             ";"Ommen                                             ";"Overijssel                                        "
"211";"GM1586    ";"Oost Gelre                                        ";"Oost Gelre                                        ";"Gelderland                                        "
"212";"GM0826    ";"Oosterhout                                        ";"Oosterhout                                        ";"Noord-Brabant                                     "
"213";"GM0085    ";"Ooststellingwerf                                  ";"Ooststellingwerf                                  ";"Fryslân                                           "
"214";"GM0431    ";"Oostzaan                                          ";"Oostzaan                                          ";"Noord-Holland                                     "
"215";"GM0432    ";"Opmeer                                            ";"Opmeer                                            ";"Noord-Holland                                     "
"216";"GM0086    ";"Opsterland                                        ";"Opsterland                                        ";"Fryslân                                           "
"217";"GM0828    ";"Oss                                               ";"Oss                                               ";"Noord-Brabant                                     "
"218";"GM1509    ";"Oude IJsselstreek                                 ";"Oude IJsselstreek                                 ";"Gelderland                                        "
"219";"GM0437    ";"Ouder-Amstel                                      ";"Ouder+Amstel                                      ";"Noord-Holland                                     "
"220";"GM0589    ";"Oudewater                                         ";"Oudewater                                         ";"Utrecht                                           "
"221";"GM1734    ";"Overbetuwe                                        ";"Overbetuwe                                        ";"Gelderland                                        "
"222";"GM0590    ";"Papendrecht                                       ";"Papendrecht                                       ";"Zuid-Holland                                      "
"223";"GM1894    ";"Peel en Maas                                      ";"Peel en Maas                                      ";"Limburg                                           "
"224";"GM0765    ";"Pekela                                            ";"Pekela                                            ";"Groningen                                         "
"225";"GM1926    ";"Pijnacker-Nootdorp                                ";"Pijnacker+Nootdorp                                ";"Zuid-Holland                                      "
"226";"GM0439    ";"Purmerend                                         ";"Purmerend                                         ";"Noord-Holland                                     "
"227";"GM0273    ";"Putten                                            ";"Putten                                            ";"Gelderland                                        "
"228";"GM0177    ";"Raalte                                            ";"Raalte                                            ";"Overijssel                                        "
"229";"GM0703    ";"Reimerswaal                                       ";"Reimerswaal                                       ";"Zeeland                                           "
"230";"GM0274    ";"Renkum                                            ";"Renkum                                            ";"Gelderland                                        "
"231";"GM0339    ";"Renswoude                                         ";"Renswoude                                         ";"Utrecht                                           "
"232";"GM1667    ";"Reusel-De Mierden                                 ";"Reusel+De Mierden                                 ";"Noord-Brabant                                     "
"233";"GM0275    ";"Rheden                                            ";"Rheden                                            ";"Gelderland                                        "
"234";"GM0340    ";"Rhenen                                            ";"Rhenen                                            ";"Utrecht                                           "
"235";"GM0597    ";"Ridderkerk                                        ";"Ridderkerk                                        ";"Zuid-Holland                                      "
"236";"GM1742    ";"Rijssen-Holten                                    ";"Rijssen+Holten                                    ";"Overijssel                                        "
"237";"GM0603    ";"Rijswijk (ZH.)                                    ";"Rijswijk (ZH.)                                    ";"Zuid-Holland                                      "
"238";"GM1669    ";"Roerdalen                                         ";"Roerdalen                                         ";"Limburg                                           "
